"SunTrace - Testbook";"Versione app 2.1.0"
"Tester";""
"Data";""
"Browser / versione";""
"Sistema operativo";""
"URL / ambiente";""

"ID";"Area";"Precondizioni";"Passi";"Risultato atteso";"Esito";"Note"
"T01";"Avvio";"App servita da server locale.";"Apri http://localhost:8000.";"L'app carica: mappa scura a destra, pannello a sinistra, nessun errore.";"";""
"T02";"Avvio";"File del progetto in locale.";"Apri index.html con doppio click (file://).";"L'app risulta non interattiva: e' previsto, va usato il server locale (T01).";"";""
"T03";"Ricerca";"App avviata.";"Scrivi ""Via Giusti Roma"" (almeno 3 caratteri).";"Compaiono suggerimenti di indirizzo sotto il campo.";"";""
"T04";"Ricerca";"Suggerimenti visibili (T03).";"Clicca un suggerimento.";"Il campo si riempie; la mappa NON si sposta (nessuna ricerca).";"";""
"T05";"Ricerca";"Campo compilato.";"Premi ""Vai"".";"La mappa si sposta sull'indirizzo e i dati si aggiornano.";"";""
"T06";"Ricerca";"Campo compilato.";"Premi Invio nel campo di testo.";"La ricerca NON parte (parte solo col tasto ""Vai"").";"";""
"T07";"Ricerca";"App avviata.";"1) Cerca un testo senza risultati (es. xyzxyz). 2) Premi ""Vai"".";"Compare la notifica ""Indirizzo non trovato"".";"";""
"T08";"Mappa";"App avviata.";"Clicca un punto su una citta' italiana.";"Appare il puntatore verde e parte l'analisi (temperatura, comfort, stagioni).";"";""
"T09";"Mappa";"Browser con geolocalizzazione attiva.";"1) Clicca il pulsante posizione. 2) Concedi il permesso.";"La mappa si centra sulla tua posizione e la analizza.";"";""
"T10";"Mappa";"Punto selezionato.";"Zooma al massimo con ""+"".";"Si raggiunge un livello di zoom profondo (20) senza riquadri grigi.";"";""
"T11";"Confini";"App avviata.";"Clicca all'estero (es. Francia o Tunisia).";"Notifica ""Ops! Ci hai scoperto..."" e ritorno automatico a Roma.";"";""
"T12";"Confini";"App avviata.";"Clicca in mare vicino all'Italia (es. Mar Tirreno).";"Notifica ""Qui c'e' solo acqua!"" e ritorno a Roma.";"";""
"T13";"Confini";"App avviata.";"Clicca sulla terraferma in Italia.";"L'analisi procede, nessuna notifica di confine.";"";""
"T14";"Tempo";"Punto selezionato.";"Muovi il cursore del mese.";"L'etichetta del mese e i valori (temperatura, sole) si aggiornano.";"";""
"T15";"Tempo";"Punto selezionato.";"Muovi il cursore dell'ora.";"Ora, posizione del sole e ombra sulla mappa si aggiornano.";"";""
"T16";"Facciata";"Punto selezionato.";"Muovi ""Rotazione parete"".";"Orientamento/Cardinale cambia e resta il valore impostato (non sovrascritto).";"";""
"T17";"Facciata";"Punto selezionato.";"Cambia ""Tipo di Infissi"" in Vetro Singolo.";"Le temperature stagionali e il Comfort Rate si aggiornano.";"";""
"T18";"Facciata";"Punto selezionato.";"Cambia ""Isolamento"" in Cappotto Termico.";"I valori si aggiornano (inverno piu' caldo, estate piu' fresca).";"";""
"T19";"Facciata";"App avviata.";"Passa il mouse sulle icone info (Dati Solari, Orientamento, Schermatura).";"Compare un riquadro con la spiegazione.";"";""
"T20";"OSM";"App avviata.";"Clicca in un centro urbano denso.";"Orientamento e Schermatura pulsano brevemente e si assestano su valori reali (senza saltare a Sud).";"";""
"T21";"OSM";"Un punto gia' analizzato.";"Trascina il puntatore poco piu' in la'.";"L'orientamento parte dall'ultimo valore noto, non da 180 gradi, poi si aggiorna.";"";""
"T27";"Piano";"Punto analizzato in una zona con edifici (es. centro citta').";"Sulla barra in alto al centro, cambia il piano da terra a 5.";"La ""Schermatura rilevata"" diminuisce salendo di piano e Comfort Rate/esposizione cambiano di conseguenza.";"";""
"T28";"Ombra";"Punto analizzato in una zona con edifici alti.";"1) Porta l'ora a mattino presto o tardo pomeriggio (sole basso). 2) Guarda ""Sole diretto"" nei Dati Solari. 3) Cambia piano da terra a 5.";"Con sole basso e piano terra compare ""In ombra""; salendo di piano passa a ""In sole"" e la temperatura stimata aumenta.";"";""
"T29";"Ombra";"Punto analizzato.";"Porta l'ora a notte (es. 02:00).";"""Sole diretto"" mostra ""Sotto l'orizzonte"".";"";""
"T22";"Comfort";"Punto analizzato.";"Tocca il badge a stelle del Comfort Rate.";"Si apre il dettaglio: inverno/estate, infissi, isolamento, percepita/umidita'/pioggia, esposizione, consiglio.";"";""
"T23";"Comfort";"App avviata.";"1) Analizza un punto umido del Sud in estate (luglio). 2) Apri il dettaglio.";"""Percepita estate"" e' maggiore della temperatura; puo' comparire il consiglio sull'afa.";"";""
"T24";"Lingua";"App avviata.";"Clicca ""EN"" nel selettore in basso a sinistra.";"Tutta l'interfaccia passa in inglese, testi statici e dinamici (anche col dettaglio aperto).";"";""
"T25";"Lingua";"Lingua impostata su EN.";"Ricarica la pagina.";"L'app resta in inglese (scelta ricordata).";"";""
"T26";"Mobile";"-";"Apri da smartphone o restringi la finestra sotto 768px.";"Compare l'avviso a schermo intero ""Ops! SunTrace ha bisogno di spazio..."".";"";""

"Legenda esito";"P = Superato / F = Fallito / B = Bloccato o N.A."
